"Order_ID","Customer_ID","Order_Date","Order_Status","Payment_Method"
110,317,"2025-01-25",Completed,Credit Card
111,366,"2024-08-03",Completed,Debit Card
112,379,"2024-06-01",Completed,Cash
113,85,"2024-10-20",Completed,Cash
114,373,"2024-07-24",Completed,Credit Card
115,107,"2024-08-19",Completed,Cash
116,136,"2024-07-20",Completed,Credit Card
117,59,"2024-06-24",Completed,PayPal
118,91,"2025-02-18",Completed,Credit Card
119,490,"2024-09-23",Completed,Debit Card
120,165,"2024-09-27",Completed,PayPal
121,194,"2025-01-13",Completed,PayPal
122,240,"2024-07-28",Completed,PayPal
123,357,"2024-02-28",Completed,Credit Card
124,287,"2025-05-08",Completed,Cash
125,269,"2024-02-02",Completed,Credit Card
126,419,"2024-11-27",Completed,Credit Card
127,248,"2024-06-02",Completed,Credit Card
128,385,"2024-05-03",Completed,Credit Card
129,456,"2024-01-25",Completed,Credit Card
130,339,"2025-06-05",Returned,PayPal
131,18,"2024-09-05",Completed,Credit Card
132,132,"2024-07-17",Completed,Debit Card
133,309,"2025-03-05",Completed,Credit Card
134,240,"2024-01-23",Completed,PayPal
135,143,"2024-11-22",Completed,Credit Card
136,168,"2024-10-13",Completed,Credit Card
137,40,"2024-11-16",Completed,Debit Card
138,118,"2024-03-12",Returned,Cash
139,392,"2025-07-05",Completed,UPI
140,6,"2024-05-18",Completed,Credit Card
141,419,"2025-01-27",Completed,Cash
142,170,"2025-03-08",Completed,Debit Card
143,404,"2024-07-18",Completed,Cash
144,129,"2024-03-16",Completed,Credit Card
145,415,"2024-06-20",Returned,Credit Card
146,286,"2025-04-12",Completed,Credit Card
147,426,"2025-06-08",Completed,PayPal
148,32,"2025-06-26",Completed,Credit Card
149,399,"2024-05-11",Completed,Credit Card
150,136,"2024-12-17",Completed,Debit Card
151,180,"2024-03-28",Completed,UPI
152,23,"2025-02-15",Completed,Debit Card
153,478,"2024-08-28",Cancelled,PayPal
154,321,"2025-02-17",Completed,Credit Card
155,491,"2025-01-31",Completed,Cash
156,285,"2025-07-28",Completed,Credit Card
157,80,"2024-10-09",Completed,Credit Card
158,169,"2024-07-16",Completed,Debit Card
159,220,"2024-10-31",Completed,Credit Card
160,74,"2024-04-04",Completed,PayPal
161,466,"2024-03-05",Completed,PayPal
162,479,"2024-10-27",Completed,Credit Card
163,282,"2025-04-22",Completed,Credit Card
164,293,"2024-11-04",Completed,Credit Card
165,352,"2025-03-28",Completed,Credit Card
166,340,"2024-04-13",Completed,Cash
167,32,"2024-09-17",Completed,Debit Card
168,266,"2024-12-20",Completed,Credit Card
169,389,"2024-07-20",Completed,Credit Card
170,404,"2024-01-09",Completed,PayPal
171,299,"2024-02-12",Completed,PayPal
172,449,"2025-06-21",Completed,Cash
173,294,"2024-12-16",Completed,Credit Card
174,192,"2024-06-02",Cancelled,Debit Card
175,222,"2024-05-29",Completed,Credit Card
176,346,"2024-01-23",Completed,PayPal
177,444,"2025-07-01",Completed,Debit Card
178,115,"2024-03-03",Completed,PayPal
179,147,"2025-03-15",Completed,Credit Card
180,326,"2024-05-19",Completed,PayPal
181,382,"2024-07-13",Completed,Credit Card
182,200,"2024-06-07",Completed,PayPal
183,322,"2025-04-22",Completed,Credit Card
184,4,"2024-01-19",Completed,PayPal
185,146,"2024-07-22",Completed,Credit Card
186,478,"2024-06-10",Completed,PayPal
187,289,"2024-06-07",Completed,PayPal
188,435,"2024-04-21",Completed,Credit Card
189,109,"2025-06-12",Returned,Credit Card
190,146,"2024-08-07",Completed,Credit Card
191,488,"2024-08-30",Completed,Credit Card
192,499,"2024-08-11",Completed,Debit Card
193,439,"2025-07-21",Completed,Credit Card
194,159,"2024-07-15",Completed,Credit Card
195,401,"2024-07-16",Completed,Credit Card
196,230,"2024-07-08",Completed,Credit Card
197,422,"2024-07-08",Completed,Credit Card
198,426,"2024-02-21",Completed,PayPal
199,218,"2024-12-15",Completed,Credit Card
200,153,"2024-01-15",Completed,Cash
201,488,"2024-05-10",Completed,PayPal
202,226,"2024-04-27",Cancelled,Debit Card
203,216,"2024-06-17",Completed,Cash
204,333,"2025-03-14",Completed,Debit Card
205,469,"2024-12-13",Cancelled,Debit Card
206,66,"2025-07-27",Cancelled,Credit Card
207,493,"2024-07-22",Completed,PayPal
208,212,"2025-06-21",Completed,Credit Card
209,13,"2024-01-27",Returned,Debit Card
210,155,"2024-10-18",Completed,Credit Card
211,232,"2025-04-07",Completed,Debit Card
212,339,"2024-11-03",Completed,Debit Card
213,284,"2025-06-24",Completed,Credit Card
214,68,"2024-07-01",Completed,Credit Card
215,245,"2024-01-20",Completed,PayPal
216,117,"2025-03-24",Completed,Credit Card
217,135,"2024-02-09",Completed,Credit Card
218,356,"2025-03-18",Completed,Credit Card
219,402,"2025-02-28",Completed,Cash
220,79,"2025-05-03",Completed,PayPal
221,302,"2024-10-04",Completed,Debit Card
222,212,"2025-06-02",Completed,PayPal
223,169,"2024-04-08",Completed,PayPal
224,357,"2024-09-08",Completed,PayPal
225,125,"2024-03-11",Completed,PayPal
226,383,"2025-03-20",Cancelled,Cash
227,201,"2025-02-17",Completed,Debit Card
228,48,"2025-04-11",Completed,Credit Card
229,397,"2025-03-18",Completed,Credit Card
230,426,"2024-06-27",Completed,Credit Card
231,282,"2024-02-09",Completed,Debit Card
232,362,"2025-06-22",Completed,UPI
233,74,"2024-10-12",Completed,PayPal
234,170,"2024-02-24",Completed,PayPal
235,175,"2025-06-20",Completed,PayPal
236,382,"2025-07-29",Completed,Cash
237,177,"2024-09-14",Completed,PayPal
238,365,"2025-03-21",Completed,Credit Card
239,154,"2024-01-22",Completed,Debit Card
240,301,"2024-02-24",Completed,Debit Card
241,105,"2024-06-09",Completed,Credit Card
242,280,"2025-01-14",Completed,Credit Card
243,41,"2024-03-18",Completed,Credit Card
244,368,"2024-01-20",Completed,Credit Card
245,15,"2025-01-22",Completed,Credit Card
246,500,"2025-03-21",Completed,Cash
247,420,"2025-03-04",Cancelled,Credit Card
248,290,"2025-04-07",Completed,PayPal
249,455,"2025-04-09",Completed,Credit Card
250,405,"2024-12-14",Completed,UPI
251,72,"2024-10-27",Completed,PayPal
252,373,"2025-05-11",Returned,Cash
253,189,"2024-07-20",Returned,Debit Card
254,428,"2024-02-26",Completed,Debit Card
255,432,"2025-03-11",Completed,Credit Card
256,478,"2024-06-08",Completed,Debit Card
257,226,"2025-07-20",Completed,PayPal
258,97,"2024-08-27",Completed,Credit Card
259,63,"2025-05-08",Cancelled,Credit Card
260,83,"2024-01-25",Completed,Cash
261,496,"2025-01-16",Completed,Credit Card
262,294,"2024-09-16",Completed,PayPal
263,176,"2024-09-24",Completed,Credit Card
264,225,"2024-06-02",Completed,Credit Card
265,87,"2025-07-16",Completed,Credit Card
266,286,"2024-08-15",Completed,Debit Card
267,213,"2025-05-07",Returned,PayPal
268,400,"2024-09-03",Completed,Cash
269,11,"2024-01-28",Completed,Credit Card
270,466,"2025-05-24",Completed,Credit Card
271,31,"2024-04-17",Completed,PayPal
272,209,"2024-06-05",Completed,Credit Card
273,171,"2025-05-13",Completed,Credit Card
274,359,"2025-06-01",Completed,Debit Card
275,330,"2025-06-14",Completed,PayPal
276,99,"2024-09-03",Completed,Credit Card
277,246,"2025-03-14",Completed,Credit Card
278,268,"2024-07-08",Completed,UPI
279,232,"2025-03-04",Completed,Cash
280,11,"2024-10-17",Completed,PayPal
281,90,"2024-01-31",Cancelled,PayPal
282,252,"2024-08-29",Completed,Cash
283,131,"2024-09-27",Completed,Debit Card
284,273,"2024-05-29",Completed,PayPal
285,82,"2024-08-04",Completed,Debit Card
286,368,"2024-10-18",Completed,Credit Card
287,95,"2024-01-29",Completed,PayPal
288,325,"2024-03-28",Completed,PayPal
289,419,"2025-03-19",Completed,Credit Card
290,180,"2024-07-22",Completed,Debit Card
291,70,"2024-12-18",Completed,PayPal
292,3,"2024-11-23",Completed,Credit Card
293,181,"2024-11-15",Completed,PayPal
294,58,"2024-08-27",Completed,Credit Card
295,441,"2024-10-06",Completed,Debit Card
296,487,"2025-04-22",Completed,UPI
297,491,"2025-07-12",Completed,Cash
298,462,"2024-05-28",Completed,Cash
299,294,"2025-01-22",Completed,PayPal
300,163,"2025-07-15",Completed,Debit Card
301,224,"2024-01-05",Completed,PayPal
302,130,"2025-03-30",Completed,Credit Card
303,421,"2024-10-14",Completed,Debit Card
304,219,"2025-07-14",Completed,Debit Card
305,193,"2024-11-30",Completed,Debit Card
306,345,"2025-04-30",Completed,Debit Card
307,187,"2024-04-06",Completed,Credit Card
308,179,"2024-03-23",Completed,Credit Card
309,114,"2025-06-20",Completed,Credit Card
310,34,"2024-10-31",Completed,Debit Card
311,19,"2024-11-19",Completed,Credit Card
312,202,"2024-04-08",Cancelled,Cash
313,498,"2024-05-11",Completed,Credit Card
314,131,"2025-04-18",Completed,PayPal
315,321,"2024-06-24",Completed,Credit Card
316,163,"2024-12-04",Completed,Cash
317,152,"2024-07-02",Completed,PayPal
318,82,"2024-06-01",Completed,Cash
319,282,"2024-04-06",Cancelled,Cash
320,330,"2025-06-22",Completed,PayPal
321,176,"2025-06-28",Completed,Credit Card
322,264,"2024-03-07",Completed,Debit Card
323,239,"2024-07-23",Completed,Credit Card
324,136,"2024-11-22",Completed,Cash
325,346,"2024-08-09",Completed,Cash
326,277,"2025-02-21",Completed,Credit Card
327,33,"2024-05-30",Cancelled,PayPal
328,247,"2024-02-04",Completed,Credit Card
329,195,"2024-07-14",Cancelled,PayPal
330,398,"2024-12-12",Returned,Debit Card
331,154,"2024-04-14",Completed,Debit Card
332,478,"2025-04-17",Completed,Cash
333,308,"2024-01-08",Completed,Credit Card
334,66,"2024-02-09",Completed,PayPal
335,202,"2024-10-21",Returned,PayPal
336,442,"2024-10-23",Completed,Credit Card
337,128,"2024-06-19",Cancelled,Debit Card
338,353,"2024-05-29",Completed,Credit Card
339,392,"2024-02-10",Completed,Debit Card
340,347,"2025-01-18",Completed,Cash
341,46,"2024-08-07",Completed,Credit Card
342,188,"2024-03-09",Completed,Credit Card
343,175,"2024-08-19",Completed,Debit Card
344,172,"2025-06-26",Completed,Credit Card
345,440,"2024-05-31",Completed,Credit Card
346,3,"2025-06-02",Completed,Debit Card
347,270,"2024-05-29",Completed,Debit Card
348,492,"2024-04-17",Completed,PayPal
349,438,"2024-05-30",Completed,Debit Card
350,304,"2024-07-06",Completed,Debit Card
351,499,"2024-03-10",Completed,Credit Card
352,202,"2024-12-06",Completed,Credit Card
353,306,"2024-07-12",Completed,Debit Card
354,272,"2025-02-19",Completed,PayPal
355,24,"2024-10-11",Completed,UPI
356,21,"2024-09-13",Completed,Credit Card
357,449,"2024-09-29",Completed,Debit Card
358,87,"2024-03-31",Completed,Debit Card
359,178,"2025-02-16",Completed,Credit Card
360,312,"2024-03-01",Completed,PayPal
361,288,"2025-02-21",Completed,Credit Card
362,258,"2025-08-01",Completed,Cash
363,490,"2025-03-18",Completed,Debit Card
364,394,"2024-09-20",Completed,Credit Card
365,471,"2024-07-01",Completed,PayPal
366,330,"2025-05-20",Completed,Credit Card
367,490,"2024-05-28",Completed,PayPal
368,301,"2024-10-06",Completed,PayPal
369,271,"2025-03-22",Completed,Debit Card
370,408,"2025-06-18",Completed,Credit Card
371,435,"2025-06-17",Completed,Debit Card
372,35,"2024-02-20",Completed,Debit Card
373,456,"2025-06-04",Completed,PayPal
374,346,"2024-03-07",Completed,Debit Card
375,449,"2024-12-04",Cancelled,Debit Card
376,358,"2025-06-22",Completed,PayPal
377,464,"2025-01-14",Completed,PayPal
378,138,"2025-07-02",Completed,PayPal
379,94,"2024-07-18",Completed,Credit Card
380,98,"2024-07-01",Completed,Debit Card
381,127,"2024-07-07",Completed,Debit Card
382,107,"2024-07-24",Completed,PayPal
383,221,"2025-01-30",Cancelled,PayPal
384,100,"2024-09-18",Cancelled,Cash
385,80,"2025-03-02",Completed,Credit Card
386,262,"2024-08-28",Returned,PayPal
387,397,"2024-06-27",Cancelled,Cash
388,68,"2024-04-20",Completed,Credit Card
389,256,"2024-11-15",Completed,Credit Card
390,330,"2025-06-04",Completed,Credit Card
391,353,"2025-05-12",Completed,Debit Card
392,53,"2024-05-26",Completed,Debit Card
393,367,"2024-10-03",Completed,Credit Card
394,14,"2025-02-12",Completed,Debit Card
395,119,"2024-12-20",Completed,PayPal
396,160,"2024-02-08",Completed,Cash
397,427,"2024-12-08",Completed,PayPal
398,96,"2024-01-23",Completed,Cash
399,392,"2024-03-08",Returned,Debit Card
400,495,"2025-01-13",Completed,PayPal
401,480,"2024-02-29",Completed,Debit Card
402,152,"2024-07-15",Completed,Cash
403,48,"2024-12-06",Completed,Cash
404,112,"2025-01-14",Returned,PayPal
405,385,"2024-09-15",Completed,Debit Card
406,99,"2024-02-24",Completed,Credit Card
407,323,"2025-04-07",Completed,Credit Card
408,187,"2025-07-03",Completed,Credit Card
409,384,"2025-05-29",Completed,Credit Card
410,303,"2025-03-09",Completed,Debit Card
411,293,"2024-08-20",Completed,Credit Card
412,391,"2025-05-22",Completed,Cash
413,478,"2024-10-09",Completed,Debit Card
414,183,"2024-03-20",Completed,PayPal
415,265,"2025-05-07",Completed,Debit Card
416,313,"2024-07-04",Completed,Credit Card
417,412,"2025-06-27",Completed,Credit Card
418,242,"2024-08-01",Completed,Cash
419,188,"2025-05-18",Completed,Credit Card
420,424,"2024-11-07",Completed,PayPal
421,477,"2024-09-27",Completed,Credit Card
422,285,"2024-06-20",Completed,Credit Card
423,52,"2025-04-28",Completed,Credit Card
424,145,"2024-02-05",Completed,Debit Card
425,232,"2024-09-28",Completed,Credit Card
426,352,"2024-08-01",Completed,Cash
427,335,"2024-11-10",Completed,Credit Card
428,411,"2024-05-27",Completed,Credit Card
429,15,"2025-01-19",Completed,Credit Card
430,233,"2024-08-11",Completed,UPI
431,351,"2024-04-18",Completed,Debit Card
432,494,"2024-04-24",Completed,Debit Card
433,72,"2025-02-07",Completed,Debit Card
434,440,"2024-05-31",Completed,Cash
435,4,"2024-06-26",Completed,Credit Card
436,99,"2024-12-29",Completed,PayPal
437,424,"2024-07-09",Completed,PayPal
438,394,"2024-08-12",Completed,Credit Card
439,487,"2024-05-21",Completed,Credit Card
440,301,"2024-07-18",Completed,Debit Card
441,308,"2025-02-05",Completed,Credit Card
442,268,"2024-11-05",Completed,Credit Card
443,256,"2025-07-31",Completed,Debit Card
444,257,"2025-03-22",Completed,Credit Card
445,147,"2024-01-10",Completed,PayPal
446,427,"2024-08-07",Completed,Debit Card
447,179,"2024-06-16",Completed,Debit Card
448,306,"2024-12-06",Completed,Debit Card
449,335,"2024-06-02",Returned,Debit Card
450,269,"2025-07-13",Completed,Debit Card
451,306,"2024-06-22",Completed,Cash
452,25,"2024-10-29",Completed,Credit Card
453,158,"2024-03-12",Completed,Debit Card
454,225,"2025-06-10",Completed,PayPal
455,198,"2025-06-11",Completed,Debit Card
456,455,"2025-04-04",Completed,Credit Card
457,449,"2024-07-22",Completed,Credit Card
458,356,"2024-02-03",Completed,Debit Card
459,177,"2025-02-15",Completed,PayPal
460,26,"2024-09-05",Completed,PayPal
461,378,"2025-07-27",Completed,PayPal
462,442,"2025-02-08",Completed,Credit Card
463,245,"2024-11-07",Completed,PayPal
464,414,"2025-07-25",Completed,Debit Card
465,466,"2025-04-08",Completed,UPI
466,274,"2024-09-22",Cancelled,PayPal
467,105,"2024-01-11",Completed,Debit Card
468,12,"2024-02-23",Completed,PayPal
469,379,"2024-09-13",Completed,Debit Card
470,282,"2024-11-21",Completed,Credit Card
471,77,"2024-01-18",Completed,Debit Card
472,28,"2024-03-14",Completed,Credit Card
473,485,"2025-02-11",Completed,Credit Card
474,161,"2025-03-11",Completed,PayPal
475,164,"2024-01-18",Completed,Credit Card
476,315,"2024-10-20",Completed,PayPal
477,183,"2024-02-16",Completed,Debit Card
478,457,"2025-02-22",Completed,PayPal
479,341,"2025-04-27",Completed,PayPal
480,179,"2025-05-18",Completed,PayPal
481,134,"2024-12-12",Completed,Debit Card
482,431,"2024-12-30",Completed,UPI
483,296,"2025-06-20",Completed,Debit Card
484,460,"2024-12-20",Completed,PayPal
485,173,"2024-09-15",Completed,Debit Card
486,11,"2025-03-12",Completed,Credit Card
487,450,"2024-12-08",Completed,Debit Card
488,120,"2025-05-02",Completed,Debit Card
489,423,"2024-10-30",Completed,Credit Card
490,355,"2025-05-18",Completed,Credit Card
491,116,"2024-01-26",Completed,Credit Card
492,379,"2024-01-22",Completed,UPI
493,41,"2024-02-27",Cancelled,Debit Card
494,197,"2024-11-18",Completed,Credit Card
495,179,"2025-02-14",Completed,PayPal
496,329,"2024-05-05",Completed,Debit Card
497,268,"2024-03-31",Completed,PayPal
498,307,"2025-05-13",Completed,Debit Card
499,239,"2025-03-10",Completed,Credit Card
500,370,"2025-01-10",Completed,Credit Card
501,81,"2024-10-09",Completed,PayPal
502,360,"2024-08-31",Completed,PayPal
503,26,"2024-01-12",Completed,PayPal
504,43,"2024-04-18",Completed,Credit Card
505,362,"2025-06-03",Completed,PayPal
506,80,"2024-07-15",Returned,Debit Card
507,386,"2025-02-11",Completed,PayPal
508,67,"2025-02-11",Completed,Credit Card
509,74,"2024-06-28",Completed,PayPal
510,467,"2024-04-28",Completed,UPI
511,89,"2025-02-04",Completed,Credit Card
512,457,"2024-02-24",Completed,PayPal
513,175,"2024-10-13",Completed,Debit Card
514,399,"2025-05-29",Completed,Credit Card
515,470,"2025-02-15",Completed,Credit Card
516,59,"2025-03-18",Completed,PayPal
517,166,"2024-02-18",Completed,Credit Card
518,288,"2024-04-25",Completed,Credit Card
519,433,"2024-06-08",Completed,Cash
520,94,"2024-06-18",Completed,Debit Card
521,94,"2024-04-22",Completed,PayPal
522,185,"2025-07-16",Completed,Debit Card
523,103,"2024-04-05",Completed,Debit Card
524,134,"2025-02-14",Completed,PayPal
525,65,"2024-12-05",Cancelled,Credit Card
526,415,"2024-12-19",Completed,Credit Card
527,399,"2024-05-04",Completed,Debit Card
528,73,"2024-06-27",Completed,Cash
529,269,"2024-12-17",Completed,Credit Card
530,324,"2024-06-22",Completed,UPI
531,314,"2025-02-05",Completed,PayPal
532,492,"2024-01-23",Completed,Debit Card
533,321,"2024-02-12",Completed,Debit Card
534,344,"2025-02-25",Cancelled,Credit Card
535,17,"2024-12-23",Completed,Debit Card
536,40,"2024-01-25",Completed,Credit Card
537,310,"2025-06-04",Completed,Debit Card
538,454,"2024-01-03",Completed,Credit Card
539,200,"2025-07-07",Returned,UPI
540,322,"2025-02-26",Completed,Credit Card
541,106,"2025-07-26",Completed,Debit Card
542,229,"2025-07-03",Cancelled,Credit Card
543,376,"2024-06-30",Completed,Credit Card
544,330,"2025-03-14",Completed,Credit Card
545,58,"2024-05-02",Completed,PayPal
546,440,"2024-09-30",Completed,Debit Card
547,464,"2024-05-19",Completed,Debit Card
548,239,"2024-10-08",Returned,PayPal
549,171,"2025-05-20",Completed,Credit Card
550,266,"2024-09-09",Completed,PayPal
551,401,"2024-02-23",Completed,Credit Card
552,227,"2024-07-06",Completed,Cash
553,16,"2025-03-31",Completed,Cash
554,37,"2024-10-29",Completed,PayPal
555,406,"2024-11-20",Completed,Credit Card
556,394,"2024-09-06",Completed,Debit Card
557,387,"2024-06-18",Completed,PayPal
558,64,"2024-12-12",Completed,Debit Card
559,86,"2025-01-01",Completed,Credit Card
560,198,"2025-06-04",Completed,Debit Card
561,116,"2024-12-23",Completed,Credit Card
562,194,"2025-07-30",Completed,Debit Card
563,280,"2025-04-23",Completed,Credit Card
564,141,"2024-02-15",Completed,Debit Card
565,62,"2024-08-15",Completed,Credit Card
566,202,"2024-08-10",Completed,Credit Card
567,362,"2024-01-02",Returned,Credit Card
568,310,"2024-04-14",Completed,Cash
569,161,"2025-03-17",Completed,Debit Card
570,156,"2024-07-22",Completed,Debit Card
571,292,"2024-03-26",Completed,PayPal
572,87,"2024-06-15",Cancelled,Debit Card
573,417,"2024-06-08",Cancelled,Debit Card
574,435,"2024-04-11",Completed,Debit Card
575,13,"2024-02-28",Completed,Credit Card
576,486,"2025-03-18",Completed,Debit Card
577,12,"2025-04-22",Completed,Credit Card
578,230,"2024-10-14",Cancelled,Cash
579,334,"2024-12-22",Completed,Debit Card
580,164,"2025-06-16",Completed,Credit Card
581,102,"2025-05-02",Completed,Debit Card
582,24,"2024-01-19",Completed,Credit Card
583,364,"2025-07-05",Completed,Debit Card
584,19,"2024-02-08",Completed,Cash
585,243,"2024-01-16",Completed,PayPal
586,197,"2024-08-21",Completed,PayPal
587,484,"2025-03-07",Completed,Debit Card
588,466,"2024-02-16",Completed,Debit Card
589,409,"2024-06-18",Completed,Credit Card
590,366,"2024-06-01",Returned,Debit Card
591,272,"2024-08-18",Completed,Debit Card
592,175,"2025-07-24",Completed,Credit Card
593,84,"2024-07-10",Completed,Credit Card
594,485,"2024-04-30",Completed,Credit Card
595,193,"2024-03-11",Cancelled,Credit Card
596,215,"2024-04-24",Completed,Credit Card
597,71,"2024-03-18",Completed,Debit Card
598,139,"2024-11-28",Completed,Debit Card
599,318,"2024-08-31",Completed,Debit Card
600,214,"2024-10-15",Completed,Credit Card
601,293,"2025-04-26",Completed,Debit Card
602,106,"2024-12-02",Completed,PayPal
603,42,"2024-03-30",Returned,Credit Card
604,443,"2024-08-06",Completed,Credit Card
605,217,"2024-06-29",Completed,Debit Card
606,181,"2025-04-23",Completed,Credit Card
607,144,"2024-06-26",Completed,Credit Card
608,329,"2024-03-21",Completed,Debit Card
609,282,"2025-03-02",Completed,Credit Card
610,195,"2024-09-05",Completed,PayPal
611,466,"2024-02-25",Completed,PayPal
612,451,"2025-02-03",Completed,Debit Card
613,100,"2024-05-01",Completed,Debit Card
614,322,"2025-05-17",Completed,UPI
615,485,"2025-04-26",Completed,Debit Card
616,245,"2024-08-01",Completed,UPI
617,16,"2024-11-17",Completed,PayPal
618,67,"2024-11-24",Completed,Credit Card
619,334,"2025-01-13",Completed,Credit Card
620,451,"2024-02-10",Completed,Credit Card
621,65,"2024-07-07",Completed,PayPal
622,274,"2024-04-08",Completed,Credit Card
623,249,"2025-02-07",Completed,PayPal
624,143,"2024-02-10",Completed,Debit Card
625,316,"2024-10-26",Completed,PayPal
626,439,"2025-02-25",Completed,PayPal
627,120,"2025-07-03",Completed,Credit Card
628,28,"2024-06-15",Completed,Credit Card
629,180,"2024-01-05",Cancelled,Debit Card
630,158,"2025-02-23",Completed,PayPal
631,364,"2024-01-01",Returned,PayPal
632,269,"2024-02-08",Completed,Debit Card
633,9,"2025-07-27",Completed,PayPal
634,170,"2025-05-14",Completed,Debit Card
635,368,"2025-02-13",Completed,Credit Card
636,239,"2025-04-28",Completed,Cash
637,282,"2024-02-13",Completed,Debit Card
638,133,"2024-02-21",Completed,PayPal
639,160,"2024-06-23",Completed,Credit Card
640,66,"2024-01-14",Completed,Debit Card
641,41,"2025-05-29",Completed,Credit Card
642,19,"2024-02-02",Cancelled,Debit Card
643,313,"2024-11-10",Completed,Credit Card
644,79,"2025-05-09",Completed,PayPal
